key,en,ca,cs,de,es,fr,id,it,ja,ko,pl,pt,ru,th,tr,vi,zh
PAUSED,PAUSED,PARSAT,POUŠTĚNO,PAUSIERT,EN PAUSA,PAUSE,TERPAUSE,PAUSATO,一時停止,일시 정지됨,WSTRZYMANE,PAUSADO,ПАУЗА,หยุด,DURDU,TẠM DỪNG,暂停
ONE_MORE_TIME,ONE MORE TIME,UNA VEGADA MÉS,JEDNOU VÍCE,NOCH EINMAL,OTRA VEZ,UNE FOIS DE PLUS,SATU KALI LAGI,UN'ULTIMA VOLTA,もう一度,다시 한 번,JESZCZE JEDEN RAZ,SÓ MAIS UMA VEZ,ЕЩЕ РАЗ,อีกครั้งหนึ่ง,BİR DAHA,THÊM MỘT LẦN NỮA,再来一次
COMET_BUFF_DURATION,Comet Buff Duration,Durada del Buff de Comet Crític,Doba Trvání Buffu Kritické Komety,Dauer des kritischen Kometen-Buffs,Duración del don Cometa Crítico,Durée de Buff de Comète Critique,Durasi Buff Komet Kritis,Durata Buff Cometa Critica,クリティカル彗星バフの持続時間,치명타 혜성 버프 지속시간,Czas Buffu Krytycznej Komety,Duração do Buff do Cometa Crítico,Длительность бонуса кометы,ระยะเวลาการบัฟดาวหางวิกฤต,Kritik Kuyruklu Yıldız Buff Süresi,Thời Gian Buff Sao Chổi Kích Cỡ,暴击彗星增益持续时间
CHANCE_TO_ADD_TIME_ON_ASTEROID_DESTROYED,Chance to Add Time when an Asteroid is Destroyed,Probabilitat d'Afegir Temps quan un Asteroide és Destruït,"Šance na Přidání Času, když je Asteroid Zničen","Chance, Zeit hinzuzufügen, wenn ein Asteroid zerstört wird",Probabilidad de añadir tiempo al destruir un Asteroide,Chance d'Ajouter du Temps lorsque un Astéroïde est Détruit,Peluang untuk Menambah Waktu saat Asteroid Dihancurkan,Probabilità di Aggiungere Tempo quando un Asteroide viene Distrutto,小惑星が破壊されたときに追加される時間のチャンス,소행성이 파괴될 때 추가되는 시간의 확률,"Szansa na Dodanie Czasu, gdy Asteroida Zostanie Zniszczona",Chance de Adicionar Tempo quando um Asteroide é Destruído,"Шанс добавить время, когда астероид разрушен",โอกาสในการเพิ่มเวลาเมื่อดาวเคราะห์น้อยถูกทำลาย,Bir Asteroit Yok Edildiğinde Zaman Ekleme Şansı,Cơ Hội Thêm Thời Gian Khi Một Asteroid Bị Phá Hủy,摧毁小行星时增加时间的机会
FEBRUARY,February,Febrer,Únor,Februar,Febrero,Février,Februari,Febbraio,2月,2월,Luty,Fevereiro,Февраль,กุมภาพันธ์,Şubat,Tháng 2,2月
STAR,Star Plasma,Plasma Estel·lar,Hvězdné Plasma,Sternenplasma,Plasma estelar,Plasma d'Étoile,Plasma Bintang,Plasma Stellare,星のプラズマ,별 플라즈마,Plazma Gwiazd,Plasma Estelar,Плазма звезд,พลาสมาดาว,Yıldız Plazması,Plasma Sao,星际等离子体
COMPACT_MODE_DESCRIPTION,A quick mode where all the upgrades are connected in a grid. How fast can you beat this mode?,Un mode ràpid amb millores on tots els nodes estan connectats. Quina velocitat pots guanyar aquest mode?,"Rychlý režim s upgrady, kde jsou všechny uzly propojené. Jak rychle to dokážete porazit?","Ein schneller Modus mit Upgrades, bei dem alle Knoten verbunden sind. Wie schnell kannst du diesen Modus besiegen?",Partida rápida donde todas las mejoras están conectadas en una cuadrícula. ¿Cómo de rápido te lo podrás pasar?,Un mode rapide avec des améliorations où tous les nœuds sont connectés. Combien de temps pouvez-vous mettre à battre ce mode ?,Sebuah mode cepat dengan upgrade di mana semua node terhubung. Seberapa cepat Anda bisa menyelesaikan mode ini?,Una modalità veloce con aggiornamenti dove tutti i nodi sono connessi. Quanto velocemente puoi battere questa modalità?,すべてのノードが接続されているアップグレード付きの短いモード。どれくらい早くこのモードをクリアできますか？,모든 노드가 연결된 업그레이드 모드로 빠른 모드. 이 모드를 얼마나 빨리 통과할 수 있을까요?,"Szybki tryb z ulepszeniami, w którym wszystkie węzły są połączone. Jak szybko możesz pokonać ten tryb?",Um modo rápido com upgrades onde todos os nós estão conectados. Quão rápido você consegue vencer este modo?,"Быстрый режим с обновлениями, где все узлы соединены. Как быстро вы сможете пройти этот режим?",โหมดที่รวดเร็วพร้อมการอัปเกรดที่เชื่อมโยง nodes ทั้งหมดอยู่ในที่เดียวกัน คุณสามารถเอาชนะโหมดนี้ได้เร็วแค่ไหน?,Tüm düğümlerin bağlı olduğu yükseltmelerle birlikte hızlı bir mod. Bu modu ne kadar hızlı geçebilirsiniz?,Một chế độ nhanh với các nâng cấp nơi tất cả các nút được kết nối. Bạn có thể đánh bại chế độ này nhanh đến mức nào?,一个快速模式，所有节点都连接。有多快能打败这个模式？
NOVEMBER,November,Novembre,Listopad,November,Noviembre,Novembre,November,Novembre,11月,11월,Listopad,Novembro,Ноябрь,พฤศจิกายน,Kasım,Tháng 11,11月
LANGUAGE,Language,Idioma,Jazyk,Sprache,Idioma,Langue,Bahasa,Lingua,言語,언어,Język,Idioma,Язык,ภาษา,Dil,Ngôn Ngữ,语言
RUN_TIMER_AMOUNT_ON_STAR_DESTROYED,Time Added when Star is Destroyed,Temps Afegit quan l'Estrella és Destruïda,"Čas Přidán, když je Hvězda Zničena","Zeit hinzugefügt, wenn der Stern zerstört wird",Tiempo añadido al destruir una Estrella,Temps Ajouté lorsque l'Étoile est Détruite,Waktu Tambahan saat Bintang Dihancurkan,Tempo Aggiunto quando la Stella è Distrutta,星が破壊されたときに追加される時間,별이 파괴될 때 추가되는 시간,"Czas Dodany, gdy Gwiazda Zostaje Zniszczona",Tempo Adicionado quando a Estrela é Destruída,"Время добавлено, когда звезда разрушена",เวลาเพิ่มเมื่อดาวถูกทำลาย,Bir Yıldız Yok Edildiğinde Eklenen Zaman,Thời Gian Thêm Khi Sao Bị Phá Hủy,摧毁恒星时增加的时间
LASER_CRIT_CHANCE,Laser Critical Damage Chance,Probabilitat de Dany Crític Làser,Šance na Kritické Poškození Laseru,Chance auf kritischen Laserschaden,Probabilidad de daño crítico del Láser,Chance de Dégâts Critiques de Laser,Peluang Damage Kritis Laser,Probabilità di Danno Critico da Laser,レーザークリティカルダメージチャンス,레이저 치명타 확률,Szansa na Krytyczne Obrażenia Lasera,Chance de Dano Crítico a Laser,Шанс критического урона от лазера,โอกาสความเสียหายวิกฤตเลเซอร์,Lazer Kritik Hasar Şansı,Cơ Hội Sát Thương Kích Cỡ Laser,激光暴击伤害机会
SCREEN MODE,Screen Mode,Mode de Pantalla,Režim Obrazovky,Bildschirmmodus,Modo de pantalla,Mode Écran,Mode Layar,Modalità Schermo,画面モード,화면 모드,Tryb Ekranu,Modo de Tela,Режим экрана,โหมดหน้าจอ,Ekran Modu,Chế Độ Màn Hình,屏幕模式
BUY UPGRADE,Buy Upgrade,Comprar Millora,Koupit Upgrade,Upgrade kaufen,Comprar mejora,Acheter Amélioration,Beli Upgrade,Acquista Aggiornamento,アップグレードを購入,업그레이드 구매,Kup Ulepszenie,Comprar Upgrade,Купить обновление,ซื้อการอัปเกรด,Yükseltme Al,Mua Nâng Cấp,购买升级
COMING_SOON_DATE,"Coming Soon: {day_of_week}, {month} {day}, {year}","Properament: {day_of_week}, {day} de {month}, {year}",Již brzy: {day_of_week} {day}. {month} {year},"Demnächst: {day_of_week}, {day}. {month} {year}",Próximamente: {day_of_week} {day} de {month} de {year},Bientôt: {day_of_week} {day} {month} {year},Segera Hadir: {day_of_week} {day} {month} {year},Prossimamente: {day_of_week} {day} {month} {year},近日公開: {year}年{month}{day}日（{day_of_week}）,출시 예정: {year}년 {month} {day}일 {day_of_week},"Wkrótce: {day_of_week}, {day} {month} {year}","Em Breve: {day_of_week}, {day} de {month}, {year}","Скоро: {day_of_week}, {day} {month} {year} г.",เร็วๆ นี้: {day_of_week} {day} {month} {year},"Yakında: {day_of_week}, {day} {month} {year}",Sắp ra mắt: {day_of_week} {day} tháng {month} năm {year},即将推出：{year}年{month}{day}日 {day_of_week}
RUN_TIMER,Run Timer,Temporitzador d'execució,Spustit časovač,Laufzeit,Duración de la sesión,Minuteur d'exécution,Pengatur Waktu Berjalan,Timer di esecuzione,実行タイマー,타이머 실행,Timer biegu,Cronômetro de execução,Запуск таймера,ตัวจับเวลาทำงาน,Çalışma Zamanlayıcısı,Chạy bộ đếm thời gian,运行计时器
BIG_TO_SMALL,Big To Small,De gran a petit,Od velkého k malému,Groß bis Klein,De grande a pequeño,Du grand au petit,Dari Besar ke Kecil,Dal grande al piccolo,大きいものから小さいものへ,큰 것부터 작은 것까지,Od dużego do małego,Do grande ao pequeno,От большого к малому,จากใหญ่ไปเล็ก,Büyükten Küçüğe,Từ lớn đến nhỏ,从大到小
SPECIAL_ASTEROID_RADIOACTIVE_DURATION,Radioactive Duration,Durada radioactiva,Radioaktivní doba trvání,Dauer der Radioaktivität,Duración radiactiva,Durée radioactive,Durasi Radioaktif,Durata radioattiva,放射持続時間,방사능 지속 시간,Czas trwania promieniowania,Duração radioativa,Продолжительность радиоактивного воздействия,ระยะเวลากัมมันตรังสี,Radyoaktif Süre,Thời gian phóng xạ,放射性持续时间
CHANCE_TO_ADD_TIME_ON_PLANET_DESTROYED,Chance to Add Time when a Planet is Destroyed,Probabilitat d'Afegir Temps quan un Planeta és Destruït,"Šance na Přidání Času, když je Planeta Zničena","Chance, Zeit hinzuzufügen, wenn ein Planet zerstört wird",Probabilidad de añadir tiempo al destruir un Planeta,Chance d'Ajouter du Temps lorsque une Planète est Détruite,Peluang untuk Menambah Waktu saat Planet Dihancurkan,Probabilità di Aggiungere Tempo quando un Pianeta viene Distrutto,惑星が破壊されたときに追加される時間のチャンス,행성이 파괴될 때 시간 추가 확률,"Szansa na Dodanie Czasu, gdy Planeta Zostaje Zniszczona",Chance de Adicionar Tempo quando um Planeta é Destruído,"Шанс добавить время, когда планета разрушена",โอกาสในการเพิ่มเวลาเมื่อดาวเคราะห์ถูกทำลาย,Bir Gezegen Yok Edildiğinde Zaman Ekleme Şansı,Cơ Hội Thêm Thời Gian Khi Một Hành Tinh Bị Phá Hủy,摧毁行星时增加时间的机会
TUESDAY,Tuesday,Dimarts,Úterý,Dienstag,Martes,Mardi,Selasa,Martedì,火曜日,화요일,Wtorek,Terça-feira,Вторник,วันอังคาร,Salı,Thứ ba,星期二
SPECIAL_ASTEROID_GOLDEN_BONUS_MONEY_SCALE,Golden Asteroid Bonus Money Scale,Escala de Dinero Extra d'Asteroide Daurat,Zlatý Asteroid Bonusové Měřítko Peněz,Bonusgeld-Skala für goldene Asteroiden,Multiplicador de Dinero de los Asteroides Dorados,Échelle d'Argent Bonus d'Astéroïde Doré,Skala Uang Bonus Asteroid Emas,Scala Bonus Denaro Asteroide Dorato,金色小惑星ボーナスお金スケール,황금 소행성 보너스 돈 스케일,Skala Bonusowych Pieniędzy Złotej Asteroidy,Escala de Dinheiro Bônus do Asteroide Dourado,Масштаб бонусных денег от золотого астероида,สเกลโบนัสเงินดาวเคราะห์น้อยทองคำ,Altın Asteroit Bonus Para Ölçeği,Tỷ Lệ Tiền Thưởng Asteroid Vàng,金色小行星额外金钱比例
SUPERNOVA_DAMAGE_PERCENT_CURRENT_HEALTH,Supernova Percent Damage,Percentatge de Dany de Supernova,Percentuální Poškození Supernovy,Supernova-Prozentschaden,Porcentaje de daño de las Supernovas,Pourcentage de Dégâts de Supernova,Persen Damage Supernova,Percentuale di Danno da Supernova,超新星のパーセントダメージ,슈퍼노바 백분율 피해,Procent Obrażeń Supernowej,Porcentagem de Dano de Supernova,Процентный урон от сверхновой,เปอร์เซ็นต์ความเสียหายซูเปอร์โนวา,Süpernova Yüzde Hasarı,Phần Trăm Sát Thương Siêu Nova,超新星百分比伤害
DARK_MODE,Dark Mode,Mode Fosc,Temný Režim,Dunkelmodus,Modo oscuro,Mode Sombre,Mode Gelap,Modalità Buia,ダークモード,어두운 모드,Tryb Ciemny,Modo Escuro,Темный режим,โหมดมืด,Karanlık Mod,Chế Độ Tối,黑暗模式
MAX_ASTEROID_SIZE,Asteroid Size,Mida de l'Asteroide,Velikost Asteroidu,Asteroidengröße,Tamaño de los Asteroides,Taille d'Astéroïde,Ukuran Asteroid,Dimensione dell'Asteroide,小惑星のサイズ,소행성 크기,Rozmiar Asteroidy,Tamanho do Asteroide,Размер астероида,ขนาดดาวเคราะห์น้อย,Asteroit Boyutu,Kích Thước Asteroid,小行星大小
SHUFFLE_MUSIC,Shuffle Music,Reorganitzar Música,Zamíchat Hudbu,Musik mischen,Música en aleatorio,Mélanger la Musique,Acak Musik,Mescola Musica,音楽をシャッフル,음악 섞기,Losuj Muzykę,Shuffle Música,Перемешать музыку,สุ่มเพลง,Müziği Karıştır,Xáo Trộn Nhạc,播放音乐随机
MARCH,March,Març,Březen,März,Marzo,Mars,Maret,Marzo,3月,3월,Marzec,Março,Март,มีนาคม,Mart,Tháng 3,3月
